ZIP,Total_Pop,Pop_5_24,Percent_5_24,Median_Age,Male_Total_Pop,Female_Total_Pop,Male_to_Female_Ratio,Total_Mobile_Home,No_English,Below_Poverty_Line,Percent_18_24_no_HS_diploma,Total_HS_Graduates,Percent_Unemployment,Percent_No_HS_Diploma,Pop_5_24_per1000,Total_Pop_per1000,log_Total_Pop_per1000,ZIP_TYPE,ZCTA,STATE,RUCA1,RUCA2,Income,Race,Region
28018,4699,1247,0.265375611832305,47.6,2279,2420,94.2,6.4,1.6,14.3,14.6,1268,4.7,0.269844647797404,265.375611832305,4.699,1.54734972012068,Zip Code Area,28018,NC,6,6,-0.711198428,0.953278071,1
28019,0,0,,,0,0,,,,,,0,,,,0,0,Post Office or large volume customer,28019,NC,4,4,,,1
28040,7738,1751,0.22628586197984,45.1,4013,3725,107.7,5.9,1.2,21.4,29.5,2077,4.9,0.268415611269062,226.28586197984,7.738,2.04614325627832,Zip Code Area,28040,NC,5,5,-0.414055885,0.890234476,1
28043,21075,5153,0.244507710557533,41.3,10040,11035,91,2.9,7,22.9,21.1,5017,5.6,0.238054567022539,244.507710557533,21.075,3.04808750388792,Zip Code Area,28043,NC,4,4,-0.718676123,0.660939764,1
28076,376,128,0.340425531914894,34.9,144,232,62.1,33.6,0,64.7,100,229,8.9,0.609042553191489,340.425531914894,0.376,-0.978166135592243,Post Office or large volume customer,28076,NC,4,4,-1,0.687055477,1
28139,20900,4848,0.231961722488038,45,9968,10932,91.2,3.9,3.5,12.6,24,5169,5.4,0.247320574162679,231.961722488038,20.9,3.03974915897077,Zip Code Area,28139,NC,5,5,-0.504424779,0.879902624,1
28160,3586,965,0.269102063580591,37.4,1722,1864,92.4,2.2,3.7,12.8,33.7,1081,5.7,0.301450083658673,269.102063580591,3.586,1.27703737518294,Zip Code Area,28160,NC,4,4,-0.746938776,0.312163617,1
28167,2591,457,0.176379776148205,49.4,1230,1361,90.4,10.7,3.7,40.4,73.7,649,5.5,0.250482439212659,176.379776148205,2.591,0.952043901579973,Zip Code Area,28167,NC,5,5,-0.840336134,0.820867959,1
28604,7635,1943,0.254485920104781,43.8,3606,4029,89.5,3.6,4.4,14,2.3,1143,5.1,0.149705304518664,254.485920104781,7.635,2.0327429386706,Zip Code Area,28604,NC,10,10,-0.139414802,0.956102428,1
28605,3428,695,0.202742123687281,46.9,1752,1676,104.5,4.6,2.5,20.7,37.4,622,0.8,0.18144690781797,202.742123687281,3.428,1.23197700073553,Zip Code Area,28605,NC,10,10,0.009287926,0.987312572,1
28606,1689,299,0.177027827116637,45.7,904,785,115.2,13,2.9,11.3,9.8,430,7.9,0.254588513913558,177.027827116637,1.689,0.524136637825663,Zip Code Area,28606,NC,5,5,-0.634615385,0.878076063,1
28607,35523,17628,0.496241871463559,23.8,17680,17843,99.1,1.5,5,39.7,1.3,4764,6.1,0.13411029473862,496.241871463559,35.523,3.57018037401693,Zip Code Area,28607,NC,4,4,-0.514527504,0.965514004,1
28611,1162,161,0.13855421686747,49.3,716,446,160.5,15.9,2.7,33.7,9.2,424,1.7,0.364888123924269,138.55421686747,1.162,0.150142658429719,Zip Code Area,28611,NC,2,2,-0.688172043,0.76957164,1
28612,12338,3136,0.254174096287891,42.2,6286,6052,103.9,4,5.9,21,16.6,3333,7,0.270141027719241,254.174096287891,12.338,2.51268393078745,Zip Code Area,28612,NC,1,1,-0.676201373,0.974271462,1
28615,1767,365,0.20656479909451,51.4,829,938,88.4,8.7,0,29.2,34.7,610,3.1,0.345217883418223,206.56479909451,1.767,0.569283193337559,Zip Code Area,28615,NC,8,8,-0.830687831,0.996668517,1
28616,252,106,0.420634920634921,17.7,139,113,123,33.6,0,22.1,9.1,76,0,0.301587301587302,420.634920634921,0.252,-1.37832619147071,Post Office or large volume customer,28616,NC,7,7,-0.5,0.976635514,1
28617,2323,673,0.289711579853638,35.9,1184,1139,104,11.3,11.3,21.8,8.6,733,3.3,0.315540249677142,289.711579853638,2.323,0.842859453788272,Zip Code Area,28617,NC,8,8,-0.524637681,0.994475138,1
28618,2581,462,0.179000387446726,44.4,1319,1262,104.5,6,0.8,15.1,5.5,362,2.5,0.14025571483921,179.000387446726,2.581,0.948176920736477,Zip Code Area,28618,NC,5,5,-0.547557841,0.988961365,1
28619,1537,312,0.202992843201041,47.5,702,835,84.1,5.6,4.9,26.6,0,341,4.4,0.221860767729343,202.992843201041,1.537,0.429832464556459,Post Office or large volume customer,28619,NC,1,1,-0.886639676,0.882736156,1
